month,number_of_offers_per_month,phrase
1,9,data-scientist
2,1,data-scientist
3,7,data-scientist
4,8,data-scientist
1,4,data-engineer
2,2,data-engineer
3,2,data-engineer
4,1,data-engineer
1,26,big-data
2,7,big-data
3,18,big-data
4,13,big-data
1,594,analyst
2,116,analyst
3,544,analyst
4,430,analyst
1,34,data-analyst
2,5,data-analyst
3,17,data-analyst
4,20,data-analyst
1,4,data-mining
3,3,data-mining
4,3,data-mining
1,1,data-science
2,1,data-science
3,2,data-science
1,363,analityk
2,71,analityk
3,333,analityk
4,296,analityk
1,1,analiza-danych
3,1,analiza-danych
1,1,analityka-biznesowego
