id,position,employer,date,location,href
4400965,Analityk ds. Podatków,Manpower Wroc³aw,2016-02-10,"Wroc³aw, dolnoœl¹skie","/praca/analityk-ds-podatkow-wroclaw,oferta,4400965"
4383760,Analityk Finansowy,AVON Operations Polska Sp. z o.o.,2016-02-09,"Garwolin, mazowieckie","/praca/analityk-finansowy-garwolin,oferta,4383760"
4397823,Analityk finansowy,Kasa Krajowa,2016-02-09,"Sopot, pomorskie","/praca/analityk-finansowy-sopot,oferta,4397823"
4399360,Sta¿ w Dziale Badañ i Rozwoju (Dzia³ Analityki),POLPHARMA S.A.,2016-02-09,"Sieradz, ³ódzkie","/praca/staz-w-dziale-badan-i-rozwoju-dzial-analityki-sieradz,oferta,4399360"
4342261,Senior Collections Analyst,arvato Finance,2016-02-08,"Kraków, ma³opolskie","/praca/senior-collections-analyst-krakow,oferta,4342261"
4362871,Specjalista ds. Kontrolingu - Analityk Finansowy,FCA-Group Bank Polska S.A.,2016-02-08,"Warszawa, mazowieckie","/praca/specjalista-ds-kontrolingu-analityk-finansowy-warszawa,oferta,4362871"
4373260,Analityk Finansowy,SUPER-PHARM,2016-02-08,"Warszawa, mazowieckie","/praca/analityk-finansowy-warszawa,oferta,4373260"
4381214,M³odszy analityk finansowy,Grupa Wirtualna Polska,2016-02-08,"Gdañsk, pomorskie","/praca/mlodszy-analityk-finansowy-gdansk,oferta,4381214"
4383630,Analityk Finansowy,BNP Paribas Lease Group Sp. z o.o.,2016-02-08,"Warszawa, mazowieckie","/praca/analityk-finansowy-warszawa,oferta,4383630"
4395525,Analityk finansowy,TextilMarket,2016-02-08,"Andrychów, ma³opolskie","/praca/analityk-finansowy-andrychow,oferta,4395525"
4396464,Analityk Finansowy,KCR PLACEMENT SP. Z O.O.,2016-02-08,"Warszawa, mazowieckie","/praca/analityk-finansowy-warszawa,oferta,4396464"
4396567,Analityk Finansowy,Rekrutacja ukryta,2016-02-08,"Poznañ, wielkopolskie","/praca/analityk-finansowy-poznan,oferta,4396567"
4386917,Starszy Analityk ryzyka kredytowego,ING Bank Œl¹ski S.A.,2016-02-08,"Warszawa, mazowieckie","/praca/starszy-analityk-ryzyka-kredytowego-warszawa,oferta,4386917"
4396619,M³odszy Analityk w Dziale Wycen i Analiz,Grupa Gumu³ka Sp. z o.o,2016-02-08,"Katowice, œl¹skie","/praca/mlodszy-analityk-w-dziale-wycen-i-analiz-katowice,oferta,4396619"
4349820,Analityk Finansowy,Liberty Ubezpieczenia,2016-02-07,"Warszawa, mazowieckie","/praca/analityk-finansowy-warszawa,oferta,4349820"
4371707,Analityk Finansowy,KONTAKT-SIMON S.A.,2016-02-07,"Czechowice-Dziedzice, œl¹skie","/praca/analityk-finansowy-czechowice-dziedzice,oferta,4371707"
4376365,Enterprise - Analityk Finansowy,Accenture,2016-02-07,"Warszawa, mazowieckie","/praca/enterprise-analityk-finansowy-warszawa,oferta,4376365"
4379232,Controller – Analityk Finansowy,AIC S.A.,2016-02-07,"Gdynia, pomorskie","/praca/controller-analityk-finansowy-gdynia,oferta,4379232"
4386673,Analityk Finansowy,GE Energy Management,2016-02-06,"£ódŸ, ³ódzkie","/praca/analityk-finansowy-lodz,oferta,4386673"
4380002,Accounts Receivable & Collections Analyst,ACN,2016-02-05,"Wroc³aw, dolnoœl¹skie","/praca/accounts-receivable-collections-analyst-wroclaw,oferta,4380002"
4392784,Collections Analyst with German or French,arvato Finance,2016-02-05,"Kraków, ma³opolskie","/praca/collections-analyst-with-german-or-french-krakow,oferta,4392784"
4392828,Senior Collections Analyst with German or French,arvato Finance,2016-02-05,"Kraków, ma³opolskie","/praca/senior-collections-analyst-with-german-or-french-krakow,oferta,4392828"
4365741,Analityk Finansowy,Adecco Poland,2016-02-05,"Wroc³aw, dolnoœl¹skie","/praca/analityk-finansowy-wroclaw,oferta,4365741"
4365743,Starszy Analityk finansowy,Adecco Poland,2016-02-05,"Wroc³aw, dolnoœl¹skie","/praca/starszy-analityk-finansowy-wroclaw,oferta,4365743"
4365749,Starszy Analityk finansowy,Adecco Poland,2016-02-05,"Wroc³aw, dolnoœl¹skie","/praca/starszy-analityk-finansowy-wroclaw,oferta,4365749"
4366957,M³odszy Analityk Finansowy,Stokrotka Sp. z o.o.,2016-02-05,"Lublin, lubelskie","/praca/mlodszy-analityk-finansowy-lublin,oferta,4366957"
4377463,M³odszy Kontroler Finansowy,BA GLASS POLAND Sp. z o.o.,2016-02-05,"Poznañ, wielkopolskie","/praca/mlodszy-analityk-finansowy-poznan,oferta,4377463"
4383217,Analityk finansowy,Doradztwo dla Polskich Przedsiêbiorstw Corporate Finance,2016-02-05,"Warszawa, mazowieckie","/praca/analityk-finansowy-warszawa,oferta,4383217"
4392537,Analityk Finansowy,MediaExpert,2016-02-05,"Z³otów, wielkopolskie","/praca/analityk-finansowy-zlotow,oferta,4392537"
4392844,Analityk finansowy,Also Polska Sp. z o.o.,2016-02-05,"Goleniów (okolice), Szczecin (okolice), £ozienica (pow. goleniowski), zachodniopomorskie","/praca/analityk-finansowy-zachodniopomorskie,oferta,4392844"
4394446,Analityk Finansowy,Page Personnel,2016-02-05,"Warszawa, mazowieckie","/praca/analityk-finansowy-zastepstwo-1-5-roku-warszawa,oferta,4394446"
4394694,Analityk finansowy,Grafton Recruitment,2016-02-05,"Poznañ, wielkopolskie","/praca/analityk-finansowy-poznan,oferta,4394694"
4353080,Analityk Finansowy w Zespole Controllingu,Toyota Bank Polska S.A.,2016-02-04,"Warszawa, mazowieckie","/praca/analityk-finansowy-w-zespole-controllingu-warszawa,oferta,4353080"
4363730,Analityk Finansowy,Adecco Poland,2016-02-04,"Wroc³aw, dolnoœl¹skie","/praca/analityk-finansowy-wroclaw,oferta,4363730"
