id,position,employer,date,location,href
4397243,In¿ynier – Big Data / Cloud Computing / Knowledge Discovery,Samsung R&D Institute Poland,2016-02-10,"Warszawa, mazowieckie","/praca/inzynier-big-data-cloud-computing-knowledge-discovery-warszawa,oferta,4397243"
4382216,Management Information Analyst,PwC,2016-02-10,"Warszawa, mazowieckie","/praca/management-information-analyst-warszawa,oferta,4382216"
4368403,1st Line Helpdesk Analyst,Lowcosttravelgroup LTD,2016-02-10,"Kraków, ma³opolskie","/praca/1st-line-helpdesk-analyst-krakow,oferta,4368403"
4397250,In¿ynier - Text Mining / Data Mining / Knowledge Engineering,Samsung R&D Institute Poland,2016-02-10,"Warszawa, mazowieckie","/praca/inzynier-text-mining-data-mining-knowledge-engineering-warszawa,oferta,4397250"
4400970,Analityk,Wadwicz Sp. z o.o.,2016-02-10,"Sosnowiec, œl¹skie","/praca/analityk-sosnowiec,oferta,4400970"
4371140,HR Big Data Scientist,ELECTROLUX POLAND,2016-02-09,"Kraków, ma³opolskie","/praca/hr-big-data-scientist-krakow,oferta,4371140"
4381889,Full Stack Java Developer – Big Data,ING Services Polska sp. z o.o.,2016-02-09,"Katowice, œl¹skie","/praca/full-stack-java-developer-big-data-katowice,oferta,4381889"
4378434,In¿ynier Business Intelligence / DWH / Big Data z jêzykiem niemieckim,Capgemini Software Solutions Center,2016-02-09,"Wroc³aw, dolnoœl¹skie","/praca/inzynier-business-intelligence-dwh-big-data-wroclaw,oferta,4378434"
4395206,Administrator Big Data,StepStone Services Sp. z o.o.,2016-02-09,"Warszawa, mazowieckie","/praca/administrator-big-data-warszawa,oferta,4395206"
4355586,Programista Python/Java  - Big Data,ING Services Polska sp. z o.o.,2016-02-09,"Katowice, œl¹skie","/praca/programista-python-java-big-data-katowice,oferta,4355586"
4398485,Specjalista IT ds. rozwoju systemów Big Data,PLAY,2016-02-09,"Warszawa, mazowieckie","/praca/specjalista-it-ds-rozwoju-systemow-big-data-warszawa,oferta,4398485"
4365531,Head of Big Data & Business Intelligence,IIIT Sp. z o.o.  S.K.A.,2016-02-09,"Warszawa, mazowieckie","/praca/head-of-big-data-business-intelligence-warszawa,oferta,4365531"
4397262,Programista Java w zespole Big Data & Cloud,Samsung R&D Institute Poland,2016-02-09,"Warszawa, mazowieckie","/praca/programista-java-w-zespole-big-data-cloud-warszawa,oferta,4397262"
4349370,Support Analyst with Spanish/Portuguese and English,Grafton Recruitment,2016-02-09,"Kraków, ma³opolskie","/praca/support-analyst-with-spanish-and-english-krakow,oferta,4349370"
4399586,Senior Transfer Pricing Analyst,Hays Poland,2016-02-09,"Kraków, ma³opolskie","/praca/senior-transfer-pricing-analyst-krakow,oferta,4399586"
4373295,BizTalk Developer / Analyst,Reed  Personnel Services Poland,2016-02-09,"Poznañ, wielkopolskie","/praca/biztalk-developer-analyst-poznan,oferta,4373295"
4373296,BizTalk Developer / Analyst,Reed  Personnel Services Poland,2016-02-09,"Warszawa, mazowieckie","/praca/biztalk-developer-analyst-warszawa,oferta,4373296"
4373297,BizTalk Developer / Analyst,Reed  Personnel Services Poland,2016-02-09,"Gdañsk, pomorskie","/praca/biztalk-developer-analyst-gdansk,oferta,4373297"
4375740,Analyst with English - 1st Line Technical Support,HCL Poland,2016-02-09,"Kraków, Zabierzów (pow. krakowski), ma³opolskie","/praca/analyst-with-english-1st-line-technical-support-krakow-zabierzow-pow-krakowski,oferta,4375740"
4392728,Accounting & Reporting Analyst,Philip Morris International w Polsce,2016-02-09,"Kraków, ma³opolskie","/praca/accounting-reporting-analyst-krakow,oferta,4392728"
4367498,Regulatory Compliance Analyst,Capita (Polska) Sp. z o.o.,2016-02-09,"£ódŸ, ³ódzkie","/praca/regulatory-compliance-analyst-lodz,oferta,4367498"
4351446,Investor Relations Assistant Analyst,Capita (Polska) Sp. z o.o.,2016-02-09,"Kraków, ma³opolskie","/praca/investor-relations-assistant-analyst-krakow,oferta,4351446"
4352546,Trade Support Analyst,State Street,2016-02-09,"Kraków, ma³opolskie","/praca/trade-support-analyst-krakow,oferta,4352546"
4370821,Banking Operations Analyst,Adecco Poland Sp. z o.o.,2016-02-09,"Warszawa, mazowieckie","/praca/banking-operations-analyst-warszawa,oferta,4370821"
4355735,Network Analyst,OSTC Poland Sp. z o.o.,2016-02-09,"Warszawa, mazowieckie","/praca/network-analyst-warszawa,oferta,4355735"
4372751,Business Analyst,Michael Page,2016-02-09,"Warszawa, mazowieckie","/praca/business-analyst-warszawa,oferta,4372751"
4353227,Health & Benefits Support Analyst,Aon,2016-02-09,"Kraków, ma³opolskie","/praca/health-benefits-support-analyst-krakow,oferta,4353227"
4383511,Learning Systems Support Analyst,UBS,2016-02-09,"Kraków, ma³opolskie","/praca/learning-systems-support-analyst-krakow,oferta,4383511"
4395292,Legal / Compliance Analyst,TMF Group,2016-02-09,"Warszawa, mazowieckie","/praca/legal-compliance-analyst-warszawa,oferta,4395292"
4367640,Senior Data Analyst & Auditor,Capita (Polska) Sp. z o.o.,2016-02-09,"£ódŸ, ³ódzkie","/praca/senior-data-analyst-auditor-lodz,oferta,4367640"
4382246,Risk Model Control Analyst,UBS,2016-02-09,"Zabierzów (pow. krakowski), ma³opolskie","/praca/risk-model-control-analyst-zabierzow-pow-krakowski,oferta,4382246"
4381602,Job Analysis Analyst,Philip Morris International w Polsce,2016-02-09,"Kraków, ma³opolskie","/praca/job-analysis-analyst-krakow,oferta,4381602"
4351915,Senior Business Analyst,State Street,2016-02-09,"Kraków, ma³opolskie","/praca/senior-business-analyst-krakow,oferta,4351915"
4392528,Business Support Analyst,UBS,2016-02-09,"Zabierzów (pow. krakowski), ma³opolskie","/praca/business-support-analyst-zabierzow-pow-krakowski,oferta,4392528"
4383064,Senior Change Management Analyst,Brown Brothers Harriman,2016-02-09,"Kraków, ma³opolskie","/praca/senior-change-management-analyst-krakow,oferta,4383064"
4383982,Application Support Analyst,UBS,2016-02-09,"Kraków, ma³opolskie","/praca/application-support-analyst-krakow,oferta,4383982"
4351631,Web Content Analyst with Italian,Wipro IT Services,2016-02-09,"Gdañsk, pomorskie","/praca/web-content-analyst-with-italian-gdansk,oferta,4351631"
4392843,Business Analyst,UBS,2016-02-09,"Zabierzów (pow. krakowski), ma³opolskie","/praca/business-analyst-zabierzow-pow-krakowski,oferta,4392843"
4352967,Independent Model Review Analyst (Credit or Market Team),HSBC Service Delivery (Polska),2016-02-09,"Kraków, ma³opolskie","/praca/independent-model-review-analyst-credit-or-market-team-krakow,oferta,4352967"
4373977,Central Material Requirements Planning Analyst,Philip Morris International w Polsce,2016-02-09,"Kraków, ma³opolskie","/praca/central-material-requirements-planning-analyst-krakow,oferta,4373977"
4393269,File Transfer Coordinator (Support Analyst),UBS,2016-02-09,"Zabierzów (pow. krakowski), ma³opolskie","/praca/file-transfer-coordinator-support-analyst-zabierzow-pow-krakowski,oferta,4393269"
4372960,Market Risk Analyst,HSBC Service Delivery (Polska),2016-02-09,"Kraków, ma³opolskie","/praca/market-risk-analyst-krakow,oferta,4372960"
4385034,Risk Analyst Specialist,State Street,2016-02-09,"Kraków, ma³opolskie","/praca/risk-analyst-specialist-krakow,oferta,4385034"
4367411,Customer Technical Services Analyst,Capita (Polska) Sp. z o.o.,2016-02-09,"£ódŸ, ³ódzkie","/praca/customer-technical-services-analyst-lodz,oferta,4367411"
4394541,Senior Treasury Analyst,Aon,2016-02-09,"Kraków, ma³opolskie","/praca/senior-treasury-analyst-krakow,oferta,4394541"
4352963,Business Analyst - Global Transformation,HSBC Service Delivery (Polska),2016-02-09,"Kraków, ma³opolskie","/praca/business-analyst-global-transformation-krakow,oferta,4352963"
4397274,IT Support Analyst with German,G-Force Sp. z o.o.,2016-02-09,"Kraków, ma³opolskie","/praca/it-support-analyst-with-german-krakow,oferta,4397274"
4356847,Project Office Analyst,Aon,2016-02-09,"Kraków, ma³opolskie","/praca/project-office-analyst-krakow,oferta,4356847"
4367625,Specifications & Certification Senior Data Analyst,Capita (Polska) Sp. z o.o.,2016-02-09,"£ódŸ, ³ódzkie","/praca/specifications-certification-senior-data-analyst-lodz,oferta,4367625"
4366204,PMO Analyst,Luxoft Poland sp. z o.o.,2016-02-09,"Kraków, ma³opolskie","/praca/pmo-analyst-krakow,oferta,4366204"
4346286,Strategy and Corporate Finance - Junior Research Analyst,McKinsey Knowledge Center Poland Sp. z o.o.,2016-02-09,"Wroc³aw, dolnoœl¹skie","/praca/strategy-and-corporate-finance-junior-research-analyst-wroclaw,oferta,4346286"
4394798,Fixed Assets & Capex Analyst,Philip Morris International w Polsce,2016-02-09,"Kraków, ma³opolskie","/praca/fixed-assets-capex-analyst-krakow,oferta,4394798"
4383897,Senior Compliance Analyst,CBRE Corporate Outsourcing Sp. z o.o.,2016-02-09,"Warszawa, mazowieckie","/praca/senior-compliance-analyst-warszawa,oferta,4383897"
4365017,Business Analyst,Luxoft Poland sp. z o.o.,2016-02-09,"£ódŸ, ³ódzkie","/praca/business-analyst-lodz,oferta,4365017"
4353195,Financial & Reporting Analyst,Aon,2016-02-09,"Kraków, ma³opolskie","/praca/consolidations-reporting-analyst-krakow,oferta,4353195"
4382211,Quantitative Analyst in Applied Research,UBS,2016-02-09,"Zabierzów (pow. krakowski), ma³opolskie","/praca/quantitative-analyst-in-applied-research-zabierzow-pow-krakowski,oferta,4382211"
4378652,IT Analyst,TIKKURILA POLSKA,2016-02-09,"Dêbica, podkarpackie","/praca/it-analyst-debica,oferta,4378652"
4378668,IT Analyst,TIKKURILA POLSKA,2016-02-09,ma³opolskie,"/praca/it-analyst-malopolskie,oferta,4378668"
4378670,IT Analyst,TIKKURILA POLSKA,2016-02-09,œwiêtokrzyskie,"/praca/it-analyst-swietokrzyskie,oferta,4378670"
4382151,Market Risk Data Analyst,UBS,2016-02-09,"Zabierzów (pow. krakowski), ma³opolskie","/praca/market-risk-data-analyst-zabierzow-pow-krakowski,oferta,4382151"
4373540,Access Control Analyst,UBS,2016-02-09,"Zabierzów (pow. krakowski), ma³opolskie","/praca/access-control-analyst-zabierzow-pow-krakowski,oferta,4373540"
4362346,Business Process Outsourcing and Offshoring Analyst,McKinsey Knowledge Center Poland Sp. z o.o.,2016-02-09,"Wroc³aw, dolnoœl¹skie","/praca/business-process-outsourcing-and-offshoring-analyst-wroclaw,oferta,4362346"
