"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,181,"POL","Poland",1,"Lódz","PL.LD",NA,"","Województwo","Voivodeship|Province","","Lódzkie"
2,181,"POL","Poland",2,"Swietokrzyskie","PL.SK",NA,"","Województwo","Voivodeship|Province","","Swietokrzyskie"
3,181,"POL","Poland",3,"Greater Poland","PL.WP",NA,"","Województwo","Voivodeship|Province","","Wielkopolskie"
4,181,"POL","Poland",4,"Kuyavian-Pomeranian","PL.KP",NA,"","Województwo","Voivodeship|Province","","Kujawsko-Pomorskie"
5,181,"POL","Poland",5,"Lesser Poland","PL.MA",NA,"","Województwo","Voivodeship|Province","","Malopolskie"
6,181,"POL","Poland",6,"Lower Silesian","PL.DS",NA,"","Województwo","Voivodeship|Province","","Dolnoslaskie"
7,181,"POL","Poland",7,"Lublin","PL.LU",NA,"","Województwo","Voivodeship|Province","","Lubelskie"
8,181,"POL","Poland",8,"Lubusz","PL.LB",NA,"","Województwo","Voivodeship|Province","","Lubuskie"
9,181,"POL","Poland",9,"Masovian","PL.MZ",NA,"","Województwo","Voivodeship|Province","","Mazowieckie"
10,181,"POL","Poland",10,"Opole","PL.OP",NA,"","Województwo","Voivodeship|Province","","Opolskie"
11,181,"POL","Poland",11,"Podlachian","PL.PD",NA,"","Województwo","Voivodeship|Province","","Podlaskie"
12,181,"POL","Poland",12,"Pomeranian","PL.PM",NA,"","Województwo","Voivodeship|Province","","Pomorskie"
13,181,"POL","Poland",13,"Silesian","PL.SL",NA,"","Województwo","Voivodeship|Province","","Slaskie"
14,181,"POL","Poland",14,"Subcarpathian","PL.PK",NA,"","Województwo","Voivodeship|Province","","Podkarpackie"
15,181,"POL","Poland",15,"Warmian-Masurian","PL.WN",NA,"","Województwo","Voivodeship|Province","","Warminsko-Mazurskie"
16,181,"POL","Poland",16,"West Pomeranian","PL.ZP",NA,"","Województwo","Voivodeship|Province","","Zachodniopomorskie"
