"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,181,"POL","Poland",1,"Lódz",1,"Lódz East","",NA,"","Powiat","County","","Powiat Lódzki Wschodni"
2,181,"POL","Poland",1,"Lódz",2,"Lódz","",NA,"","Powiat","City","",""
3,181,"POL","Poland",1,"Lódz",3,"Lask","",NA,"","Powiat","County","","Powiat Laski"
4,181,"POL","Poland",1,"Lódz",4,"Leczyca","",NA,"","Powiat","County","","Powiat Leczycki"
5,181,"POL","Poland",1,"Lódz",5,"Lowicz","",NA,"","Powiat","County","","Powiat Lowicki"
6,181,"POL","Poland",1,"Lódz",6,"Belchatów","",NA,"","Powiat","County","","Powiat Belchatowski"
7,181,"POL","Poland",1,"Lódz",7,"Brzeziny","",NA,"","Powiat","County","","Powiat Brzezinski"
8,181,"POL","Poland",1,"Lódz",8,"Kutno","",NA,"","Powiat","County","","Powiat Kutnowski"
9,181,"POL","Poland",1,"Lódz",9,"Opoczno","",NA,"","Powiat","County","","Powiat Opoczynski"
10,181,"POL","Poland",1,"Lódz",10,"Pabianice","",NA,"","Powiat","County","","Powiat Pabianicki"
11,181,"POL","Poland",1,"Lódz",11,"Pajeczno","",NA,"","Powiat","County","","Powiat Pajeczanski"
12,181,"POL","Poland",1,"Lódz",12,"Piotrków Trybunalski","",NA,"","Powiat","City","",""
13,181,"POL","Poland",1,"Lódz",13,"Piotrków","",NA,"","Powiat","County","","Powiat Piotrkowski"
14,181,"POL","Poland",1,"Lódz",14,"Poddebice","",NA,"","Powiat","County","","Powiat Poddebicki"
15,181,"POL","Poland",1,"Lódz",15,"Radomsko","",NA,"","Powiat","County","","Powiat Radomszczanski"
16,181,"POL","Poland",1,"Lódz",16,"Rawa","",NA,"","Powiat","County","","Powiat Rawski"
17,181,"POL","Poland",1,"Lódz",17,"Sieradz","",NA,"","Powiat","County","","Powiat Sieradzki"
18,181,"POL","Poland",1,"Lódz",18,"Skierniewice City","",NA,"","Powiat","City","","Skierniewice"
19,181,"POL","Poland",1,"Lódz",19,"Skierniewice","",NA,"","Powiat","County","","Powiat Skierniewicki"
20,181,"POL","Poland",1,"Lódz",20,"Tomaszów Mazowiecki","",NA,"","Powiat","County","","Powiat Tomaszowski"
21,181,"POL","Poland",1,"Lódz",21,"Wielun","",NA,"","Powiat","County","","Powiat Wielunski"
22,181,"POL","Poland",1,"Lódz",22,"Wieruszów","",NA,"","Powiat","County","","Powiat Wieruszowski"
23,181,"POL","Poland",1,"Lódz",23,"Zdunska Wola","",NA,"","Powiat","County","","Powiat Zdunskowolski"
24,181,"POL","Poland",1,"Lódz",24,"Zgierz","",NA,"","Powiat","County","","Powiat Zgierski"
25,181,"POL","Poland",2,"Swietokrzyskie",25,"Busko","",NA,"","Powiat","County","","Powiat Buski"
26,181,"POL","Poland",2,"Swietokrzyskie",26,"Jedrzejów","",NA,"","Powiat","County","","Powiat Jedrzejowski"
27,181,"POL","Poland",2,"Swietokrzyskie",27,"Kazimierza","",NA,"","Powiat","County","","Powiat Kazimierski"
28,181,"POL","Poland",2,"Swietokrzyskie",28,"Kielce City","",NA,"","Powiat","City","",""
29,181,"POL","Poland",2,"Swietokrzyskie",29,"Kielce","",NA,"","Powiat","County","","Powiat Kielecki"
