"city","lat","long"
"Aleksandria (pow. zgierski)",51.9431171,19.3280671
"Bielany Wroc³awskie (pow. wroc³awski)",51.0395332,16.9690407
"Bydgoszcz",53.1234804,18.0084378
"Bytom",50.3483816,18.9157175
"Czechowice-Dziedzice",49.9016056,18.9917676
"Czêstochowa",50.8118195,19.1203094
"D¹browa Górnicza",50.3216897,19.1949126
"Dêbica",50.0516417,21.4116964
"Gdañsk",54.3520252,18.6466384
"Gdynia",54.5188898,18.5305409
"Gliwice",50.2944923,18.6713802
"G³owno",51.9643,19.71565
"Gorzów Wielkopolski",52.7325285,15.2369305
"Grodzisk Mazowiecki",52.1044383,20.6350923
"Janki (pow. pruszkowski)",52.1374331,20.8999714
"Katowice",50.2648919,19.0237815
"Kielce",50.8660773,20.6285677
"Kiszkowo (pow. gnieŸnieñski)",52.58848,17.2665392
"Kraków",50.0646501,19.9449799
"Kwidzyn",53.7263529,18.9323043
"Legionowo",52.4044483,20.9499697
"£ódŸ",51.7592485,19.4559833
"£ódzkie",51.4634771,19.1726974
"£oziska (pow. piaseczyñski)",52.0752437,20.9897934
"Lublin",51.2464536,22.5684463
"Micha³ów-Reginów (pow. legionowski)",52.4170601,20.9659172
"Myœlachowice (pow. chrzanowski)",50.1879778,19.478471
"Olsztyn",53.778422,20.4801193
"Opole",50.6751067,17.9212976
"Ozorków",51.9632917,19.291386
"Pabianice",51.6567303,19.35776
"Piaseczno",52.0811536,21.0238602
"Piekary Œl¹skie",50.3789108,18.9270475
"Pi³a",53.1509671,16.7382266
"Poznañ",52.406374,16.9251681
"Radomsko",51.0668544,19.4449387
"Rzeszów",50.0411867,21.9991196
"Siechnice",51.03365,17.14733
"S³upsk",54.464148,17.0284824
"Soko³ów (pow. pruszkowski)",52.1438294,20.8678041
"Sopot",54.441581,18.5600956
"Sosnowiec",50.2862638,19.1040791
"Stare Gnatowice (pow. warszawski zachodni)",52.2342951,20.4195649
"Starogard Gdañski",53.965614,18.5162736
"Suwa³ki",54.1115218,22.9307881
"Swobodnia (pow. nowodworski)",52.4866006,20.6171698
"Szczecin",53.4285438,14.5528116
"Tarnowo Podgórne (pow. poznañski)",52.4626443,16.6734164
"Toruñ",53.0137902,18.5984437
"Tr¹bki Ma³e (pow. gdañski)",54.1839098,18.5706728
"Tychy",50.1218007,19.0200022
"Warszawa",52.2296756,21.0122287
"Wejherowo",54.6003216,18.2330487
"Wroc³aw",51.1078852,17.0385376
"Wronki",52.7103395,16.3803948
"Wrzosowa (pow. czêstochowski)",50.748196,19.1443033
"Zabierzów (pow. krakowski)",50.1138606,19.7981266
"Zakroczym",52.4379891,20.6119812
"Zduny (pow. starogardzki)",54.0109146,18.6293665
